Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Adj Close,Operacion_insider,insider_rating,ebitda,netIncome,eps_surprise,year,quarter,quarter - year
CCCS,0.05000019073486328,AC,1,0.1165,11.890000343322754,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.05000019073486328,AC,1,0.1165,11.890000343322754,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.05000019073486328,AC,1,0.1165,11.890000343322754,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.11000061035156428,AC,1,0.1165,11.399999618530272,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.25,AC,1,0.1165,11.449999809265137,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.34999942779541193,AC,1,0.1165,11.779999732971191,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.11999988555908025,AC,1,0.1165,11.279999732971191,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.11999988555908025,AC,1,0.1165,11.279999732971191,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.11999988555908025,AC,1,0.1165,11.279999732971191,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.11999988555908025,AC,1,0.1165,11.279999732971191,0,1.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,0.030000686645507812,AC,1,0.1165,11.470000267028809,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.020000457763671875,AC,1,0.1165,11.5,0,0.0,72104000.0,20224000.0,0.01,2024,2,2024-06-30
CCCS,-0.02999973297118963,AC,1,0.3667,11.100000381469728,0,1.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
CCCS,-0.02999973297118963,AC,1,0.3667,11.100000381469728,0,1.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
CCCS,-0.02999973297118963,AC,1,0.3667,11.100000381469728,0,1.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
CCCS,-0.02999973297118963,AC,1,0.3667,11.100000381469728,0,1.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
CCCS,0.009999275207519531,AC,1,0.3667,11.279999732971191,0,0.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
CCCS,0.020000457763671875,AC,1,0.3667,10.260000228881836,0,1.0,57917000.0,2812000.0,0.01,2024,3,2024-09-30
