Date,quarter - year,Ticker,diferencia_cierre_vs_apertura,nombre_holding,activity_act,activity_porc,Operacion_insider,resultado_operacion_insider,insider_rating,ebitda,netIncome,eps_surprise
26-02-2024,Q1 2024,AMT,-10.5167236328125,AC,0,0.0892,0,-10.0,1.0,1947000000.0,917400000.0,0.18
28-02-2024,Q1 2024,AMT,-2.0675048828125,AC,0,0.0892,0,-21.0,1.0,1947000000.0,917400000.0,0.18
01-03-2024,Q1 2024,AMT,-6.852615356445369,AC,0,0.0892,0,-10.0,1.0,1947000000.0,917400000.0,0.18
01-03-2024,Q1 2024,AMT,-6.852615356445369,AC,0,0.0892,0,-15.0,1.0,1947000000.0,917400000.0,0.18
04-03-2024,Q1 2024,AMT,-5.203933715820341,AC,0,0.0892,0,-5.0,1.0,1947000000.0,917400000.0,0.18
06-03-2024,Q1 2024,AMT,-10.36720275878912,AC,0,0.0892,0,-15.0,1.0,1947000000.0,917400000.0,0.18
15-03-2024,Q1 2024,AMT,-7.7398529052734375,AC,0,0.0892,0,-3.0,1.0,1947000000.0,917400000.0,0.18
03-05-2024,Q2 2024,AMT,-8.954864501953125,AC,0,0.0102,0,-9.0,1.0,1955500000.0,900300000.0,0.35
04-06-2024,Q2 2024,AMT,-5.5240020751953125,AC,0,0.0102,0,-11.0,1.0,1955500000.0,900300000.0,0.35
02-08-2024,Q3 2024,AMT,-2.778533935546875,AC,0,0.0133,0,-6.0,1.0,1420100000.0,-792300000.0,-0.68
02-08-2024,Q3 2024,AMT,-2.778533935546875,AC,0,0.0133,0,-17.0,1.0,1420100000.0,-792300000.0,-0.68
02-08-2024,Q3 2024,AMT,-2.778533935546875,AC,0,0.0133,0,-26.0,1.0,1420100000.0,-792300000.0,-0.68
02-08-2024,Q3 2024,AMT,-2.778533935546875,AC,0,0.0133,0,-16.0,1.0,1420100000.0,-792300000.0,-0.68
26-08-2024,Q3 2024,AMT,-9.543533325195341,AC,0,0.0133,0,-19.0,1.0,1420100000.0,-792300000.0,-0.68
03-09-2024,Q3 2024,AMT,0.23648071289065342,AC,0,0.0133,0,-45.0,1.0,1420100000.0,-792300000.0,-0.68
10-09-2024,Q3 2024,AMT,-4.197448730468722,AC,0,0.0133,0,-55.0,1.0,1420100000.0,-792300000.0,-0.68
13-09-2024,Q3 2024,AMT,-6.810562133789034,AC,0,0.0133,0,-21.0,1.0,1420100000.0,-792300000.0,-0.68
16-01-2025,Q1 2025,AMT,6.046813964843693,AC,0,0.5295000000000001,0,-21.0,1.0,1435300000.0,488700000.0,-0.5251
13-02-2025,Q1 2025,AMT,-2.9419250488280397,AC,0,0.5295000000000001,0,-21.0,1.0,1435300000.0,488700000.0,-0.5251
26-02-2025,Q1 2025,AMT,-7.052764892578153,AC,0,0.5295000000000001,0,-20.0,1.0,1435300000.0,488700000.0,-0.5251
26-02-2025,Q1 2025,AMT,-7.052764892578153,AC,0,0.5295000000000001,0,-18.0,1.0,1435300000.0,488700000.0,-0.5251
17-03-2025,Q1 2025,AMT,-2.892974853515625,AC,0,0.5295000000000001,0,-14.0,1.0,1435300000.0,488700000.0,-0.5251
02-01-2020,Q1 2020,AMZN,1.1504974365234375,BRK,0,0.0074,1,37.0,1.0,9351000000.0,2535000000.0,-0.06
31-01-2020,Q1 2020,AMZN,-2.1375045776367188,BRK,0,0.0074,0,0.0,1.0,9351000000.0,2535000000.0,-0.06
31-01-2020,Q1 2020,AMZN,-2.1375045776367188,BRK,0,0.0074,0,-1.0,1.0,9351000000.0,2535000000.0,-0.06
03-02-2020,Q1 2020,AMZN,-0.31999969482421875,BRK,0,0.0074,0,-7.0,1.0,9351000000.0,2535000000.0,-0.06
03-02-2020,Q1 2020,AMZN,-0.31999969482421875,BRK,0,0.0074,0,-1.0,1.0,9351000000.0,2535000000.0,-0.06
04-02-2020,Q1 2020,AMZN,0.9894943237304688,BRK,0,0.0074,0,-1.0,1.0,9351000000.0,2535000000.0,-0.06
05-02-2020,Q1 2020,AMZN,-1.5575027465820312,BRK,0,0.0074,0,-1.0,1.0,9351000000.0,2535000000.0,-0.06
06-02-2020,Q1 2020,AMZN,0.4604949951171875,BRK,0,0.0074,0,-1.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-6.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-5.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-3.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-28.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-6.0,1.0,9351000000.0,2535000000.0,-0.06
18-02-2020,Q1 2020,AMZN,1.532501220703125,BRK,0,0.0074,0,-53.0,1.0,9351000000.0,2535000000.0,-0.06
21-02-2020,Q1 2020,AMZN,-2.3089981079101705,BRK,0,0.0074,0,-2.0,1.0,9351000000.0,2535000000.0,-0.06
05-01-2022,Q1 2022,AMZN,-2.5260009765625,AM,1,0.2143,0,0.0,1.0,12862000000.0,-3844000000.0,-0.05
05-01-2022,Q1 2022,AMZN,-2.5260009765625,FS,0,0.2034,0,0.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-28.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-28.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-28.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-28.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-20.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-20.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-1.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-1.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,AM,1,0.2143,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
15-02-2022,Q1 2022,AMZN,-1.095001220703125,FS,0,0.2034,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
22-02-2022,Q1 2022,AMZN,-0.281005859375,AM,1,0.2143,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
22-02-2022,Q1 2022,AMZN,-0.281005859375,FS,0,0.2034,0,-3.0,1.0,12862000000.0,-3844000000.0,-0.05
22-02-2022,Q1 2022,AMZN,-0.281005859375,AM,1,0.2143,0,-1.0,1.0,12862000000.0,-3844000000.0,-0.05
22-02-2022,Q1 2022,AMZN,-0.281005859375,FS,0,0.2034,0,-1.0,1.0,12862000000.0,-3844000000.0,-0.05
18-03-2022,Q1 2022,AMZN,4.4375,AM,1,0.2143,0,-2.0,1.0,12862000000.0,-3844000000.0,-0.05
18-03-2022,Q1 2022,AMZN,4.4375,FS,0,0.2034,0,-2.0,1.0,12862000000.0,-3844000000.0,-0.05
30-03-2022,Q1 2022,AMZN,-2.2085113525390625,AM,1,0.2143,0,0.0,1.0,12862000000.0,-3844000000.0,-0.05
30-03-2022,Q1 2022,AMZN,-2.2085113525390625,FS,0,0.2034,0,0.0,1.0,12862000000.0,-3844000000.0,-0.05
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,AM,0,0.1176,0,-10.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,BAUPOST,1,1.0,0,-10.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,FS,1,0.0002,0,-10.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,tp,0,1.0,0,-10.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,AM,0,0.1176,0,-1.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,BAUPOST,1,1.0,0,-1.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,FS,1,0.0002,0,-1.0,1.0,13033000000.0,-2028000000.0,0.04
16-05-2022,Q2 2022,AMZN,-2.2894973754882955,tp,0,1.0,0,-1.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,AM,0,0.1176,0,-3.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,BAUPOST,1,1.0,0,-3.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,FS,1,0.0002,0,-3.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,tp,0,1.0,0,-3.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,AM,0,0.1176,0,-11.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,BAUPOST,1,1.0,0,-11.0,1.0,13033000000.0,-2028000000.0,0.04
23-05-2022,Q2 2022,AMZN,-0.9039993286132812,FS,1,0.0002,0,-11.0,1.0,13033000000.0,-2028000000.0,0.04
